deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Lenovo IdeaCentre AIO 3 AMD Ryzen 3 3250U 23.8 FHD IPS 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512 GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse),F0FX00AEIN",https://www.amazon.in/Lenovo-IdeaCentre-Edgeless-Wireless-F0FX00AEIN/dp/B0CFFH3NCT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-8,5,7,49890,37300,25,12590,"['Upto ₹1,679.55 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,679.55 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,All in One PCs,,,,,"['Computers & Accessories', 'Desktops', 'All in One PCs']",IdeaCentre AIO 3 24ADA6,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,"Belkin Magnetic Wireless Power Bank - White (BPD002BTWH) for Iphone Power Pack Mod  (Compatible only with APPLE 12, APPLE 12 PRO MAX, APPLE 12 MINI, APPLE 12 PRO, APPLE 13 * ALL MODEL)",https://www.flipkart.com/belkin-magnetic-wireless-power-bank-white-bpd002btwh-iphone-pack-mod/p/itma8db1fac2cbfc?pid=PPKGAH46EWB62YSV&lid=LSTPPKGAH46EWB62YSVQHRPGV&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvne%2Fdar%2F7lu&srno=s_1_12&otracker=search&fm=organic&iid=f7aad0c7-8c36-493b-8738-b77e60b810dd.PPKGAH46EWB62YSV.SEARCH&ppt=pp&ppn=pp&ssid=1bcgt75p8g0000001716316864352&qH=bd2d8225f0c52a6b,4.7,3,4499,4400,2,99,[],Wearable Smart Devices,Wearable Accessories,Mods,Belkin Mods,,,,"['Home', 'Wearable Smart Devices', 'Wearable Accessories', 'Mods', 'Belkin Mods']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Lenovo IdeaCentre 3 Desktop (12th Gen Intel Core i3 12100/8GB/512GB SSD/Windows 11/MS Office 2021/Interated UHD Graphics 730/WiFi 6/Bluetooth 5.2/Mineral Grey), 90SM001FIN",https://www.amazon.in/Lenovo-IdeaCentre-Interated-Bluetooth-90SM001FIN/dp/B09YLW2F2J/ref=sr_1_18?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-18,4.4,52,48690,35490,27,13200,"['Upto ₹1,598.07 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,598.07 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,Tower PCs,,,,,"['Computers & Accessories', 'Desktops', 'Tower PCs']","Processor: Intel Core i3-12100 | Speed: 3.3 GHz (Base) - 4.3 GHz (Max) | 4 Cores | 8 Threads | 12MB Cache OS and Software: Windows 11 Home 64 | Office Home and Student 2021 | Xbox GamePass Ultimate 3-month subscription* Memory and Storage: 8GB DDR4 RAM, expandable up to 32GB | Storage: 512GB SSD Graphics: Integrated Intel UHD Graphics 730 Connectivity: Wi-Fi (11ax, 2x2) | Bluetooth 5.1 Front Ports: 2x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer & 5V@3A charging) | 1x headphone/mic combo jack (3.5mm) | 1x mic (3.5mm) || Rear Ports: 2x USB-A 2.0 | 2x USB-A 3.2 Gen 1 | 1x VGA | 1x HDMI 1.4 | 1x Ethernet (RJ-45) | No CD Drive In The Box: Desktop, USB Calliope Keyboard, USB Calliope Mouse, Power Adapter, User Manual Warranty: This genuine Lenovo desktop comes with 1 Year Onsite Warranty *Active subscription needed continues until cancelled-game catalog varies. Needs Windows11 & app to play PC games",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,"shyam priya Star Master Dream Rotating Projection Lamp, Star Master Projector Lamp with USB Wire Turn Any Room Into A Starry Sky Colorful LED Night Lamp, Night Bulb, Night Light (Multi Color) Power Pack Mod  (Compatible only with colorfull)",https://www.flipkart.com/shyam-priya-star-master-dream-rotating-projection-lamp-projector-lamp-usb-wire-turn-any-room-into-starry-sky-colorful-led-night-bulb-light-multi-color-power-pack-mod/p/itmd4a63e138db67?pid=PPKG4PWDMHKGWMPV&lid=LSTPPKG4PWDMHKGWMPV1BZVJB&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvne%2Fdar%2F7lu&srno=s_1_2&otracker=search&fm=organic&iid=f7aad0c7-8c36-493b-8738-b77e60b810dd.PPKG4PWDMHKGWMPV.SEARCH&ppt=pp&ppn=pp&ssid=1bcgt75p8g0000001716316864352&qH=bd2d8225f0c52a6b,3.8,61,999,449,55,550,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% off up to ₹1,250 on HDFC Bank Credit Card EMI Txns, Tenure: 6 and 9 months, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Wearable Accessories,Mods,shyam priya Mods,,,,"['Home', 'Wearable Smart Devices', 'Wearable Accessories', 'Mods', 'shyam priya Mods']",,"[{'rating': '3', 'comment_text': 'Not badREAD MORE'}, {'rating': '2', 'comment_text': 'Projection is blurry and patchy.READ MORE'}, {'rating': '1', 'comment_text': 'Very badREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,"ASUS Vivo AiO V222, 4 core Intel Pentium Silver J5040, 21.5 (54.61cm)", All-in-One Desktop (8GB/256GB SSD/Win11/1Year McAfee Security/Wired Keyboard & Mouse Included/Black/4.8 kg), V222GAK-BA034W",https://www.amazon.in/ASUS-Pentium-Integrated-Graphics-V222GAK-BA034W/dp/B0BBXLFCP2/ref=sr_1_16?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.2,76,42990,28990,33,14000,"['Upto ₹1,305.36 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,305.36 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,All in One PCs,,,,,"['Computers & Accessories', 'Desktops', 'All in One PCs']","Processor: Intel Pentium Silver J5040 Processor 2GHz (4M Cache, up to 3.2GHz, 4 cores) Memory: 4GB DDR4 SO-DIMM *2 with | Storage: 256GB M.2 SATA SSD Graphics: Integrated Intel UHD Graphics 605 Display: 54.6 cm (21.5) , Full HD (1920 x 1080) 16:9, 250nits LED-Backlit LCD, IPS-level Panel, Anti-glare display, sRGB: 100%, Screen-to-body ratio: 87% Operating System: Pre-loaded Windows 11 Home with lifetime validity Other: 720p HD camera | Wi-Fi 5 (802.11ac) (Dual band) 1*1 | Bluetooth 4.1 | 2 x 3 W Stereo Built-in speaker | Built-in array microphone Side I/O Ports: 1x Kensington lock | 1x 3.5mm combo audio jack | 1x USB 2.0 Type-A Rear I/O Ports : 1x DC-in | 1x RJ45 LAN jack for LAN insert | 1x HDMI 1.4 | 4x USB 3.2 Gen 1 Type-A In The Box: All in One (AIO), Wired Silver Golden Keyboard, Wired Optical Mouse, Power Adaptor and User Manual",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,"HP All-in-One PC Intel Pentium J5040 21.5-inch(54.6 cm) FHD Three-Sided Micro-Edge Display(8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Wired Keyboard and Mouse Combo/MS Office)22-dd2686in, White",https://www.amazon.in/HP-21-5-inch-Three-Sided-Micro-Edge-22-dd2686in/dp/B0BCH42CXW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-3,4.2,128,42152,31990,24,10162,"['Upto ₹1,441.32 EMI interest savings on select Credit CardsUpto ₹1,441.32 EMI interest savings on select Credit Cards', 'Upto ₹3,500.00 discount on select Credit CardsUpto ₹3,500.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,All in One PCs,,,,,"['Computers & Accessories', 'Desktops', 'All in One PCs']","The HP All-in-One PC blends the power of a desktop with the beauty of a slim, modern display into one dependable device designed to grow with you.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Lenovo IdeaCentre AIO 3 12th Gen Intel i3 27 FHD IPS 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/1TB SSD/Win11/MS Office 2021/5.0 Camera/Wireless Keyboard & Mouse), F0GJ00QSIN",https://www.amazon.in/Lenovo-IdeaCentre-Edgeless-Wireless-F0GJ00QSIN/dp/B0CFFHN1GX/ref=sr_1_21?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.3,47,67390,50490,25,16900,"['Upto ₹2,273.50 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹2,273.50 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,All in One PCs,,,,,"['Computers & Accessories', 'Desktops', 'All in One PCs']",IdeaCentre AIO 3 24ITL6,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Gaming Desktop Assembled Core i7 3rd Gen | 20inch Monitor| PC for Home & Business (16 GB DDR3 Ram/256 GB SSD +1TB Hdd/4GB Nvidia Graphic Card/WiFi/Bluetooth| KBD+Mouse | Windows 10 + MS Office,https://www.amazon.in/Desktop-Assembled-Monitor-Business-Bluetooth/dp/B0D1LNXFQD/ref=sr_1_22?dib=eyJ2IjoiMSJ9.fqz8spFVi5P7sVgrvYh4Qob7kS3MTsJwD7QTTXB22DYARdV7Sfn-LQGphkV6fli6Mk8ZfDlOrlopHI2kne0x0MB3yjcviZTxJOWvqqBiAUozpx3Lh-D4Rxd66C2OZ-lQlBNmY_wUvBmYV5TBLhqfWIoxOsvufJlzDnq2s3nv35_9U1TT7PXvwxYmRRGOKdNI3AOwmzpofd-tERONkU9pPE0jrI7-URtR5zhgAOUkNA5uap2z4u6hK05Rh3wUDpj113MeVmaJeaOdY0uuT1ndcMNkMN0Y_SyTpytAnPuHUl8.8jfCKjtv0FXuAvWtWUd9JJ_KwFv4LdbgJVTlc3XOYW0&dib_tag=se&qid=1716316831&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-22,5,2,59999,23990,60,36009,"['Upto ₹1,080.26 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,080.26 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Desktops,Tower PCs,,,,,"['Computers & Accessories', 'Desktops', 'Tower PCs']","This gaming desktop system is a versatile and powerful choice for both home and business use. It is powered by a 3rd generation Intel Core i7 processor, ensuring robust performance for gaming, multitasking, and business applications. The system is equipped with a 20-inch monitor that delivers clear and vibrant visuals, providing an immersive experience whether you're gaming, watching videos, or working on projects. With 16 GB of DDR3 RAM, this desktop offers smooth multitasking capabilities, allowing you to run multiple applications simultaneously without lag. The storage setup combines the speed of a 256 GB SSD with the ample storage space of a 1 TB HDD, giving you a perfect balance between fast boot times and plenty of room for your files, games, and applications. The 4GB Nvidia graphics card enhances your gaming experience, providing smooth graphics and detailed visuals for the latest games. This graphics card also supports high-definition video playback and can handle graphic-intensive tasks such as video editing and 3D modeling.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Consistent 8GB DDR3 1600MHz Desktop RAM (Memory) U-DIMM | Long-DIMM | DT PC3-1600 Single Channel Memory with 3 Years Manufacturer Warranty (Made in India),https://www.amazon.in/Consistent-8GB-DDR3-Desktop-1600MHz/dp/B08FCL4XKM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4,2399,4499,747,83,3752,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']",Consistent 8GB DDR3 1600MHz Desktop RAM (Memory) U-DIMM | Long-DIMM | DT PC3-1600 Single Channel,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,"NOVA 2 in 1 NHS 885/05 Hair Straightener  (Black, Gold)",https://www.flipkart.com/nova-2-1-nhs-885-05-hair-straightener/p/itma9651dc3f8110?pid=HSTGH8YQQZSFN3KR&lid=LSTHSTGH8YQQZSFN3KRV24E5E&marketplace=FLIPKART&store=zlw%2F79s&srno=b_1_12&otracker=browse&fm=organic&iid=en_twN0g8I3bK81_eeVUHPqUu5eNah7zkJxkUlRO_WaJmvHBY0xRoN47rQNH4-hD14H-ir4g4ZwQxKhyzU7lJ3rOQ%3D%3D&ppt=pp&ppn=pp&ssid=fvv4trp5a80000001716318729919,4,5606,2199,1035,52,1164,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 5% off (price inclusive of cashback/coupon)'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Health & Personal Care Appliances,Personal Care Appliances,Hair Straighteners,NOVA Hair Straighteners,,,,"['Home', 'Health & Personal Care Appliances', 'Personal Care Appliances', 'Hair Straighteners', 'NOVA Hair Straighteners']",,"[{'rating': '5', 'comment_text': 'Nice product or better quality and big size thank u flipkart for this productREAD MORE'}, {'rating': '5', 'comment_text': 'NICE PRODUCTREAD MORE'}, {'rating': '5', 'comment_text': 'Awesome product, quality is best and parfect designREAD MORE'}, {'rating': '5', 'comment_text': 'Super 😘READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '3', 'comment_text': 'Nice 👍 good productREAD MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': 'ExcellentREAD MORE'}, {'rating': '5', 'comment_text': 'NiceREAD MORE'}, {'rating': '4', 'comment_text': 'Achcha quality hai this is nice historyREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,EVM 128GB SSD - 2.5 Inch SATA Solid-State Drive - Faster Boot-Up and Load Times with Read Speeds up to 550MB/s & Write Speeds up to 500MB/s - High-Performance Storage (EVM25/128GB),https://www.amazon.in/EVM-128GB-SSD-Solid-State-Warranty/dp/B09W32N5NG/ref=sr_1_21?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.3,1255,2499,1052,58,1447,[],Computers & Accessories,Components,Internal Solid State Drives,,,,,"['Computers & Accessories', 'Components', 'Internal Solid State Drives']","EVM Internal SSD 3D TLC NAND Flash Fast Performance, Ultra Low Power Consumption 2.5 Inch SATA SSD (EVM25/128GB", Black, 128GB)",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,NOVA Pro Shine NHS 840 Hair Straightener  (Pink),https://www.flipkart.com/nova-pro-shine-nhs-840-hair-straightener/p/itm33ba324215d43?pid=HSTF77GPGHA2J63X&lid=LSTHSTF77GPGHA2J63X0IOAZN&marketplace=FLIPKART&store=zlw%2F79s&srno=b_1_30&otracker=browse&fm=organic&iid=55555ac5-0f5e-4bae-8f61-d9f9fb3458b6.HSTF77GPGHA2J63X.SEARCH&ppt=pp&ppn=pp&ssid=fvv4trp5a80000001716318729919,4,161982,1495,484,67,1011,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Health & Personal Care Appliances,Personal Care Appliances,Hair Straighteners,NOVA Hair Straighteners,,,,"['Home', 'Health & Personal Care Appliances', 'Personal Care Appliances', 'Hair Straighteners', 'NOVA Hair Straighteners']",,"[{'rating': '4', 'comment_text': 'it works... but for 2 to 3 hours onlyREAD MORE'}, {'rating': '4', 'comment_text': 'good product for low price.READ MORE'}, {'rating': '4', 'comment_text': 'awesome product and I love you Flipkart.👍👍👍👍READ MORE'}, {'rating': '5', 'comment_text': 'Working awsmREAD MORE'}, {'rating': '4', 'comment_text': 'Good product... must buy...READ MORE'}, {'rating': '5', 'comment_text': It's amazing😍", thank u flipkartREAD MORE"}, {'rating': '5', 'comment_text': 'Very nice productREAD MORE'}, {'rating': '5', 'comment_text': 'Excellent productREAD MORE'}, {'rating': '4', 'comment_text': 'yeah this is goodREAD MORE'}, {'rating': '3', 'comment_text': 'nice👍👍👍👍👍READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
515,"Crucial Basics 8GB DDR4 1.2v 2666Mhz CL19 SODIMM RAM Memory Module for Laptops and Notebooks, Green",https://www.amazon.in/Crucial-Basics-2666Mhz-Laptops-Notebooks/dp/B08BC2V71W/ref=sr_1_12?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-12,4.5,2670,2200,1486,32,714,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']","The DDR4 RAM is rated at 1.2V and has a latency of CL19. It can operate at a max of 2666MT/s. A memory upgrade should enable you to load programs faster, improve responsiveness of your laptop and offer smooth multitasking and running data-intensive applications. You will also see great improvements in even simpler, yet important process of working with Web-browsers and spread sheets. The RAM is tested to be of service to you for a long time and comes with 10 Year limited lifetime warranty from Crucial offering you the safety and protecting your investment. In an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Ant Esports 690 NEO VS 8GB (1 * 8GB) DDR3 1600 MHz CL 11-11-11-28 U-DIMM Desktop Memory - AE8GD3U16M16C,https://www.amazon.in/Ant-Esports-11-11-11-28-U-DIMM-Desktop/dp/B0BDFMNW81/ref=sr_1_14?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4.3,1176,2999,805,73,2194,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']","8GB DDR3 Desktop Memory RAM. 1600Mhz/ PC3-12800 (1600Mhz)/ 11-11-11-28/ CL11. UDIMM Desktop RAM. Compatible with Intel 4000 Series, AMD FX Series. 1.5V operating voltages enable stable overclocking. 3 Year Brand Warranty",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
